Categorías,Total,Todos los años
"Otros campos/Mobiliario, juegos",590,"[0, 0, 1, 3, 1, 7, 15, 131, 53, 249, 57, 73]"
Ingeniería eléctrica/Tecnología informática,554,"[0, 1, 0, 0, 1, 8, 13, 43, 80, 79, 82, 247]"
Ingeniería mecánica/Máquinas herramientas,476,"[0, 0, 1, 0, 5, 23, 32, 18, 41, 73, 59, 224]"
Instrumentos/Medición,414,"[1, 0, 0, 0, 10, 27, 24, 25, 49, 56, 62, 160]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",361,"[0, 1, 0, 2, 9, 16, 20, 19, 34, 62, 55, 143]"
Otros campos/Ingeniería civil,342,"[0, 0, 0, 0, 4, 13, 20, 9, 26, 64, 32, 174]"
Ingeniería mecánica/Otras máquinas especiales,318,"[0, 0, 0, 1, 6, 11, 9, 6, 20, 58, 50, 157]"
"Química/Materiales, metalurgia",276,"[0, 0, 0, 1, 1, 7, 8, 9, 17, 50, 39, 144]"
Química/Ingeniería química,252,"[0, 0, 0, 4, 2, 7, 9, 6, 13, 59, 26, 126]"
Ingeniería mecánica/Manipulación,229,"[0, 0, 0, 2, 2, 12, 19, 13, 26, 23, 23, 109]"
Química/Química de materiales básicos ,219,"[0, 0, 0, 0, 4, 1, 5, 5, 16, 49, 30, 109]"
Ingeniería eléctrica/Comunicación digital,216,"[0, 1, 4, 1, 1, 4, 8, 14, 27, 59, 38, 59]"
Ingeniería mecánica/Transporte,202,"[0, 0, 0, 1, 4, 10, 16, 14, 21, 51, 18, 67]"
"Química/Química macromolecular, polímeros",172,"[0, 0, 0, 0, 1, 0, 2, 4, 11, 52, 31, 71]"
Instrumentos/Tecnología médica,165,"[0, 0, 1, 2, 1, 3, 10, 5, 15, 36, 27, 65]"
Instrumentos/Control,145,"[0, 0, 0, 0, 4, 6, 5, 5, 16, 34, 22, 53]"
Ingeniería mecánica/Elementos mecánicos,140,"[1, 0, 0, 2, 2, 8, 14, 7, 11, 23, 14, 58]"
"Química/Tecnología de superficies, recubrimiento",128,"[0, 0, 0, 0, 3, 3, 5, 1, 12, 34, 20, 50]"
Métodos de ingeniería eléctrica/TI para la gestión,126,"[0, 0, 0, 0, 0, 1, 3, 8, 9, 13, 19, 73]"
Ingeniería eléctrica/Tecnología audiovisual,113,"[0, 0, 0, 1, 0, 4, 3, 3, 15, 26, 14, 47]"
Química/Tecnología ambiental,108,"[0, 0, 0, 3, 2, 4, 7, 3, 5, 24, 11, 49]"
Química/Química de los alimentos,104,"[0, 0, 0, 0, 0, 1, 2, 7, 5, 26, 14, 49]"
Ingeniería mecánica/Máquinas textiles y papeleras,101,"[0, 0, 0, 0, 0, 3, 10, 9, 3, 25, 14, 37]"
Ingeniería eléctrica/Telecomunicaciones,96,"[1, 1, 2, 0, 2, 4, 5, 8, 7, 22, 13, 31]"
Química/Biotecnología,87,"[0, 0, 0, 0, 0, 3, 1, 10, 6, 16, 16, 35]"
Otros campos/Otros bienes de consumo,85,"[0, 0, 0, 0, 1, 5, 7, 1, 9, 15, 12, 35]"
"Ingeniería mecánica/Motores, bombas, turbinas",81,"[0, 0, 0, 0, 1, 7, 5, 4, 6, 17, 5, 36]"
Química/Química orgánica fina,72,"[0, 0, 0, 0, 2, 0, 1, 7, 9, 15, 10, 28]"
Instrumentos/Óptica,62,"[0, 0, 0, 0, 0, 5, 2, 6, 6, 16, 11, 16]"
Ingeniería mecánica/Procesos y aparatos térmicos,61,"[0, 0, 0, 1, 0, 6, 6, 3, 5, 8, 11, 21]"
Química/Farmacéutica,52,"[0, 0, 0, 0, 0, 1, 1, 2, 4, 9, 16, 19]"
Ingeniería eléctrica/Semiconductores,49,"[0, 0, 0, 0, 2, 4, 0, 2, 3, 10, 3, 25]"
Instrumentos/Análisis de materiales biológicos,36,"[0, 0, 0, 0, 0, 0, 2, 0, 3, 3, 4, 24]"
Química/Microestructural y nanotecnología,17,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 11]"
Ingeniería eléctrica/Procesos básicos de comunicación,11,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 4]"
