Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,1488,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 11, 11, 49, 229, 310, 361, 296, 210, 6]"
Ingeniería eléctrica/Tecnología informática,722,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 9, 37, 61, 139, 154, 142, 108, 58, 6]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",432,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 6, 4, 22, 27, 81, 71, 95, 82, 38, 3]"
Ingeniería eléctrica/Semiconductores,355,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 3, 10, 26, 20, 55, 61, 64, 68, 30, 13]"
Otros campos/Ingeniería civil,304,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 13, 10, 48, 62, 71, 54, 37, 4]"
Instrumentos/Tecnología médica,303,"[0, 1, 0, 8, 1, 1, 2, 7, 12, 11, 13, 13, 25, 46, 55, 52, 33, 22, 1]"
Instrumentos/Óptica,264,"[0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 2, 4, 55, 69, 40, 46, 25, 16, 2]"
Ingeniería mecánica/Manipulación,264,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 3, 6, 52, 49, 48, 63, 37, 1]"
Ingeniería eléctrica/Comunicación digital,256,"[0, 0, 0, 0, 0, 1, 0, 1, 3, 9, 3, 30, 42, 29, 25, 38, 32, 42, 1]"
Instrumentos/Medición,222,"[0, 0, 0, 0, 1, 0, 1, 2, 6, 3, 9, 21, 22, 28, 31, 40, 28, 26, 4]"
Ingeniería eléctrica/Telecomunicaciones,199,"[0, 0, 0, 0, 0, 0, 0, 1, 10, 6, 2, 13, 35, 51, 27, 18, 17, 18, 1]"
Ingeniería mecánica/Otras máquinas especiales,186,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 34, 38, 46, 42, 17, 2]"
Ingeniería mecánica/Máquinas herramientas,174,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 32, 47, 31, 35, 20, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,138,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 11, 19, 29, 29, 26, 14, 4]"
Ingeniería eléctrica/Tecnología audiovisual,117,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 16, 21, 31, 15, 17, 12, 0]"
Ingeniería mecánica/Elementos mecánicos,117,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 4, 16, 25, 28, 29, 10, 1]"
Química/Ingeniería química,111,"[1, 0, 1, 0, 0, 0, 1, 2, 4, 0, 1, 5, 3, 22, 13, 25, 23, 9, 1]"
"Química/Tecnología de superficies, recubrimiento",103,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 4, 17, 14, 26, 22, 13, 2]"
Instrumentos/Control,91,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 13, 11, 17, 14, 20, 11, 0]"
Química/Tecnología ambiental,88,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 5, 24, 17, 22, 12, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",82,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 3, 7, 12, 29, 15, 10, 0]"
Otros campos/Otros bienes de consumo,78,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 1, 5, 13, 19, 16, 8, 7, 0]"
Química/Biotecnología,71,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 7, 10, 6, 6, 18, 13, 7, 0]"
"Otros campos/Mobiliario, juegos",53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 13, 9, 10, 13, 4, 0]"
"Química/Materiales, metalurgia",50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 11, 4, 19, 5, 7, 1]"
Química/Microestructural y nanotecnología,48,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 1, 3, 4, 14, 7, 9, 1]"
Química/Farmacéutica,47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 3, 3, 20, 3, 5, 0]"
Ingeniería mecánica/Máquinas textiles y papeleras,42,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 5, 12, 7, 3, 8, 2, 1]"
Ingeniería eléctrica/Procesos básicos de comunicación,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9, 5, 7, 6, 3, 5, 2, 1]"
Ingeniería mecánica/Procesos y aparatos térmicos,37,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5, 10, 3, 12, 1, 0]"
