Categorías,Total,Todos los años
Instrumentos/Medición,6,"[0, 0, 0, 0, 0, 6, 0]"
Ingeniería mecánica/Manipulación,4,"[0, 0, 0, 4, 0, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,3,"[0, 0, 0, 0, 0, 3, 0]"
Ingeniería mecánica/Máquinas herramientas,2,"[0, 0, 1, 0, 0, 0, 1]"
Ingeniería mecánica/Transporte,2,"[0, 1, 1, 0, 0, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",1,"[0, 0, 0, 0, 1, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,1,"[0, 0, 0, 0, 0, 1, 0]"
Ingeniería eléctrica/Tecnología informática,1,"[1, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,1,"[0, 0, 0, 0, 0, 1, 0]"
Otros campos/Ingeniería civil,1,"[0, 0, 0, 0, 0, 1, 0]"
