Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,792,"[0, 0, 2, 7, 1, 0, 0, 1, 0, 0, 1, 1, 7, 1, 7, 4, 3, 4, 7, 8, 11, 7, 5, 10, 15, 22, 38, 25, 38, 50, 38, 41, 88, 70, 63, 43, 46, 56, 28, 25, 18, 1]"
Otros campos/Ingeniería civil,135,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 2, 2, 8, 5, 4, 6, 7, 10, 3, 12, 14, 13, 17, 11, 7, 3, 3, 2, 1]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",112,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 4, 0, 9, 7, 11, 9, 11, 19, 3, 22, 5, 5, 0, 0]"
Ingeniería mecánica/Manipulación,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4, 3, 2, 3, 8, 2, 9, 15, 5, 6, 6, 4, 4, 5, 5, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 4, 3, 2, 0, 4, 1, 2, 8, 6, 3, 3, 7, 2, 7, 2, 0]"
"Otros campos/Mobiliario, juegos",55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 1, 5, 0, 4, 3, 8, 5, 3, 5, 4, 1, 2, 1, 0, 1, 0]"
Otros campos/Otros bienes de consumo,44,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 5, 1, 1, 6, 4, 0, 1, 6, 6, 1, 1, 1, 0, 3, 1, 0]"
Ingeniería mecánica/Otras máquinas especiales,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 1, 1, 0, 1, 1, 7, 5, 1, 0, 1, 2, 3, 2, 0]"
Instrumentos/Tecnología médica,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 4, 3, 2, 2, 3, 1, 2, 3, 2, 3, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 2, 4, 5, 6, 1, 3, 0, 0, 0, 0]"
Instrumentos/Control,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 3, 3, 2, 3, 5, 0, 1, 2, 1]"
Química/Tecnología ambiental,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 1, 2, 2, 4, 2, 2, 1, 3, 1, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,26,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 2, 3, 4, 0, 0, 4, 2, 0, 0, 1, 2, 2, 0, 0, 0]"
