Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,83,"[1, 0, 0, 0, 3, 0, 3, 1, 6, 4, 8, 11, 16, 10, 12, 8]"
Métodos de ingeniería eléctrica/TI para la gestión,21,"[0, 2, 1, 1, 0, 0, 0, 0, 1, 2, 4, 0, 7, 2, 1, 0]"
Ingeniería eléctrica/Comunicación digital,12,"[1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0, 2]"
Ingeniería eléctrica/Tecnología audiovisual,3,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Instrumentos/Control,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Ingeniería mecánica/Transporte,3,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
Instrumentos/Medición,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Ingeniería mecánica/Otras máquinas especiales,2,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Biotecnología,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Química orgánica fina,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas herramientas,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
