Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,115,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 13, 32, 34, 18, 14, 2]"
Instrumentos/Control,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 15, 2, 5, 1]"
Ingeniería eléctrica/Comunicación digital,34,"[0, 0, 5, 8, 4, 0, 0, 4, 0, 1, 1, 0, 1, 4, 5, 0, 1, 0]"
Instrumentos/Medición,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 13, 4, 1, 1]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 7, 10, 1, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 10, 0, 1, 0]"
Ingeniería eléctrica/Tecnología informática,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 1, 1, 0]"
Instrumentos/Tecnología médica,11,"[1, 1, 1, 0, 0, 2, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,9,"[0, 0, 1, 3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Otros campos/Ingeniería civil,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]"
Ingeniería eléctrica/Tecnología audiovisual,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Instrumentos/Óptica,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"Química/Materiales, metalurgia",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Ingeniería eléctrica/Semiconductores,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
