Categorías,Total,Todos los años
Química/Biotecnología,52,"[1, 2, 0, 0, 1, 2, 10, 2, 6, 16, 12, 0]"
Otros campos/Otros bienes de consumo,39,"[0, 0, 0, 1, 0, 0, 8, 2, 2, 12, 12, 2]"
Ingeniería mecánica/Otras máquinas especiales,28,"[0, 0, 0, 0, 0, 0, 12, 1, 4, 4, 5, 2]"
Ingeniería mecánica/Máquinas textiles y papeleras,15,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 10, 0]"
Química/Ingeniería química,14,"[0, 0, 0, 1, 0, 0, 5, 1, 0, 0, 7, 0]"
"Química/Química macromolecular, polímeros",8,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
Química/Química de los alimentos,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0]"
Química/Química de materiales básicos ,2,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Farmacéutica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Ingeniería eléctrica/Tecnología informática,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instrumentos/Tecnología médica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
