Categorías,Total,Todos los años
Ingeniería mecánica/Otras máquinas especiales,41,"[1, 1, 1, 0, 2, 1, 3, 4, 5, 9, 4, 2, 3, 0, 3, 2]"
Química/Ingeniería química,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,3,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Otros campos/Ingeniería civil,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
Química/Tecnología ambiental,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Instrumentos/Control,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Instrumentos/Tecnología médica,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Ingeniería mecánica/Manipulación,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",2,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Química de materiales básicos ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Transporte,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
