Categorías,Total,Todos los años
Otros campos/Otros bienes de consumo,355,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 8, 0, 2, 2, 0, 0, 2, 1, 2, 3, 11, 2, 1, 3, 0, 1, 2, 3, 4, 5, 3, 2, 2, 5, 3, 3, 8, 2, 5, 16, 15, 10, 4, 16, 9, 12, 9, 31, 12, 22, 25, 24, 25, 21, 9, 3]"
Instrumentos/Tecnología médica,215,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 4, 0, 2, 0, 0, 3, 3, 1, 0, 1, 9, 3, 2, 5, 6, 2, 10, 10, 5, 12, 19, 8, 13, 24, 23, 29, 8, 4, 0]"
Otros campos/Ingeniería civil,160,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 2, 1, 1, 1, 2, 0, 1, 1, 3, 2, 3, 0, 0, 9, 4, 8, 4, 5, 8, 8, 3, 9, 6, 15, 8, 8, 8, 16, 10, 4, 1, 0]"
Ingeniería mecánica/Máquinas textiles y papeleras,110,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 2, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 0, 1, 0, 0, 1, 10, 5, 0, 3, 0, 2, 0, 1, 1, 3, 2, 4, 5, 26, 6, 8, 5, 4, 4, 0, 0]"
"Otros campos/Mobiliario, juegos",104,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 3, 0, 0, 1, 2, 3, 2, 6, 1, 11, 0, 0, 7, 11, 6, 6, 5, 8, 8, 3, 4, 0]"
Ingeniería mecánica/Otras máquinas especiales,100,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 3, 0, 3, 0, 3, 1, 5, 3, 10, 6, 6, 13, 10, 10, 6, 0]"
Química/Ingeniería química,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 14, 14, 11, 5, 9, 4, 7, 3, 0]"
Química/Tecnología ambiental,58,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 11, 11, 7, 4, 3, 2, 8, 2, 0]"
Ingeniería mecánica/Máquinas herramientas,57,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 1, 3, 11, 10, 3, 6, 4, 2, 4, 3]"
Ingeniería mecánica/Elementos mecánicos,55,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 6, 5, 1, 1, 1, 1, 1, 0, 0, 0, 4, 3, 4, 2, 2, 1, 5, 2, 1, 0, 0]"
