Categorías,Total,Todos los años
Química/Química orgánica fina,88,"[1, 9, 2, 5, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 0, 5, 18, 15, 1, 3, 1, 9, 1]"
Química/Farmacéutica,26,"[1, 0, 1, 0, 1, 1, 0, 3, 1, 0, 0, 0, 2, 0, 0, 3, 9, 1, 1, 1, 0, 1, 0]"
"Química/Química macromolecular, polímeros",15,"[0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0]"
Química/Química de materiales básicos ,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 0, 0, 0, 2, 1]"
Química/Química de los alimentos,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 1]"
Ingeniería mecánica/Máquinas textiles y papeleras,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
Química/Ingeniería química,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instrumentos/Tecnología médica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Ingeniería mecánica/Manipulación,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Otros campos/Otros bienes de consumo,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
