Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,61,"[1, 2, 7, 4, 14, 19, 5, 8, 1]"
Instrumentos/Tecnología médica,31,"[0, 0, 0, 3, 12, 4, 2, 9, 1]"
Métodos de ingeniería eléctrica/TI para la gestión,26,"[1, 0, 1, 0, 9, 5, 5, 4, 1]"
Ingeniería eléctrica/Comunicación digital,17,"[0, 1, 0, 0, 2, 8, 2, 3, 1]"
"Otros campos/Mobiliario, juegos",10,"[1, 0, 0, 0, 0, 0, 1, 8, 0]"
Instrumentos/Control,6,"[0, 0, 0, 0, 1, 3, 0, 2, 0]"
Ingeniería eléctrica/Telecomunicaciones,3,"[0, 0, 0, 0, 0, 1, 1, 1, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",2,"[0, 0, 0, 0, 0, 0, 0, 2, 0]"
Química/Farmacéutica,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instrumentos/Análisis de materiales biológicos,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instrumentos/Medición,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Ingeniería mecánica/Otras máquinas especiales,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
Otros campos/Ingeniería civil,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Otros campos/Otros bienes de consumo,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
