Categorías,Total,Todos los años
Química/Química de materiales básicos ,144,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 1, 5, 0, 1, 3, 0, 1, 3, 4, 2, 3, 20, 16, 11, 16, 4, 7, 8, 2, 14, 9, 6]"
Química/Tecnología ambiental,103,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 0, 0, 6, 1, 0, 1, 2, 3, 1, 2, 6, 1, 2, 5, 8, 11, 8, 8, 10, 7, 9, 1, 1]"
"Química/Química macromolecular, polímeros",88,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 2, 0, 3, 0, 1, 2, 2, 2, 6, 5, 2, 1, 5, 20, 0, 1, 6, 1, 14, 6, 3]"
Instrumentos/Óptica,57,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18, 1, 17, 0, 1, 0, 0, 0, 0, 6, 2, 0]"
"Química/Materiales, metalurgia",46,"[0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 1, 6, 1, 7, 1, 0, 5, 4, 2, 2, 0]"
Química/Ingeniería química,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 4, 3, 3, 2, 2, 12, 2, 0]"
Ingeniería mecánica/Otras máquinas especiales,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 4, 0, 1, 1, 1, 4, 2, 2, 5, 0, 3, 4, 0]"
Ingeniería eléctrica/Semiconductores,36,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 1, 2, 0, 0, 0, 5, 1, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 8, 0, 0, 2, 2, 1, 3, 0]"
"Química/Tecnología de superficies, recubrimiento",22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 5, 2, 0, 0, 0, 4, 1, 0]"
Química/Química orgánica fina,19,"[0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 3, 0, 0]"
