Categorías,Total,Todos los años
Química/Química de los alimentos,128,"[1, 1, 3, 3, 0, 3, 12, 5, 17, 15, 12, 11, 2, 6, 15, 16, 6]"
Química/Farmacéutica,39,"[0, 0, 2, 0, 2, 0, 2, 4, 5, 3, 2, 6, 5, 3, 3, 1, 1]"
Otros campos/Otros bienes de consumo,32,"[0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 7, 10, 0, 6, 1, 3]"
Química/Química de materiales básicos ,17,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 5, 0, 1, 5, 0, 1]"
Química/Biotecnología,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 6, 0]"
Ingeniería mecánica/Máquinas textiles y papeleras,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0]"
Química/Química orgánica fina,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 0]"
Ingeniería mecánica/Otras máquinas especiales,7,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 0, 0]"
Química/Ingeniería química,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0]"
Instrumentos/Análisis de materiales biológicos,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
Instrumentos/Medición,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
"Otros campos/Mobiliario, juegos",3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Instrumentos/Tecnología médica,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Ingeniería mecánica/Manipulación,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
