Categorías,Total,Todos los años
Química/Farmacéutica,68,"[0, 1, 0, 2, 3, 9, 3, 6, 22, 15, 7]"
Química/Química orgánica fina,28,"[0, 0, 0, 0, 3, 1, 7, 4, 2, 10, 1]"
Química/Biotecnología,8,"[3, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
Química/Química de materiales básicos ,5,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
Química/Química de los alimentos,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1]"
Otros campos/Otros bienes de consumo,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1]"
Instrumentos/Tecnología médica,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]"
Ingeniería mecánica/Máquinas textiles y papeleras,3,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Ingeniería química,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Química/Microestructural y nanotecnología,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Análisis de materiales biológicos,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
