Categorías,Total,Todos los años
Instrumentos/Tecnología médica,75,"[2, 2, 13, 9, 1, 2, 3, 3, 5, 3, 1, 4, 3, 4, 10, 3, 5, 1, 1]"
Instrumentos/Control,13,"[0, 0, 9, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Biotecnología,9,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 0]"
Química/Farmacéutica,9,"[0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Ingeniería eléctrica/Tecnología informática,9,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0]"
Instrumentos/Análisis de materiales biológicos,4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,3,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Medición,3,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Química/Química de los alimentos,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
