Categorías,Total,Todos los años
Ingeniería mecánica/Manipulación,419,"[2, 2, 2, 6, 1, 11, 5, 0, 1, 2, 3, 16, 0, 1, 0, 3, 1, 0, 3, 9, 17, 14, 3, 2, 6, 1, 3, 10, 15, 19, 32, 98, 31, 61, 22, 16, 1]"
"Química/Tecnología de superficies, recubrimiento",247,"[0, 0, 0, 0, 1, 7, 2, 0, 1, 2, 3, 17, 2, 2, 0, 3, 3, 0, 2, 9, 23, 16, 5, 0, 7, 20, 1, 4, 15, 1, 12, 26, 13, 29, 16, 4, 1]"
Ingeniería mecánica/Máquinas textiles y papeleras,173,"[0, 0, 0, 0, 1, 9, 1, 0, 0, 0, 3, 16, 0, 1, 1, 3, 1, 1, 2, 2, 4, 0, 0, 0, 3, 2, 0, 0, 5, 13, 22, 40, 9, 16, 12, 4, 2]"
"Química/Química macromolecular, polímeros",143,"[0, 0, 2, 5, 3, 2, 11, 3, 1, 7, 3, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 2, 4, 0, 3, 4, 2, 4, 4, 17, 9, 27, 11, 10, 1]"
Ingeniería mecánica/Otras máquinas especiales,128,"[0, 0, 1, 0, 1, 1, 3, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 3, 4, 8, 1, 0, 0, 6, 8, 4, 6, 12, 3, 12, 9, 4, 20, 7, 9, 0]"
Química/Química de materiales básicos ,72,"[0, 0, 0, 0, 2, 1, 10, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 12, 0, 1, 4, 0, 2, 0, 0, 4, 0, 1, 18, 5, 3, 1]"
Otros campos/Otros bienes de consumo,19,"[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0]"
Química/Química de los alimentos,10,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]"
Química/Ingeniería química,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 6, 1, 0]"
Ingeniería mecánica/Máquinas herramientas,8,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0]"
Instrumentos/Tecnología médica,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Química/Farmacéutica,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0]"
Ingeniería mecánica/Transporte,3,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instrumentos/Análisis de materiales biológicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Biotecnología,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Otros campos/Ingeniería civil,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
