Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,13,"[0, 0, 0, 2, 2, 1, 5, 2, 1]"
Ingeniería eléctrica/Comunicación digital,8,"[0, 0, 0, 2, 4, 2, 0, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
Ingeniería mecánica/Transporte,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
Otros campos/Ingeniería civil,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Control,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instrumentos/Medición,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas herramientas,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
