Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,173,"[1, 0, 33, 116, 20, 3]"
Métodos de ingeniería eléctrica/TI para la gestión,147,"[0, 0, 24, 91, 18, 14]"
Ingeniería eléctrica/Comunicación digital,28,"[0, 1, 5, 18, 4, 0]"
Instrumentos/Control,18,"[0, 0, 1, 10, 7, 0]"
Ingeniería eléctrica/Tecnología audiovisual,15,"[0, 0, 1, 5, 5, 4]"
Ingeniería eléctrica/Telecomunicaciones,12,"[0, 0, 1, 8, 2, 1]"
Instrumentos/Tecnología médica,11,"[0, 0, 0, 3, 3, 5]"
"Otros campos/Mobiliario, juegos",9,"[0, 0, 2, 6, 1, 0]"
Instrumentos/Óptica,9,"[0, 0, 1, 7, 1, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",8,"[0, 0, 0, 1, 0, 7]"
Otros campos/Ingeniería civil,7,"[0, 0, 0, 0, 3, 4]"
Ingeniería mecánica/Transporte,7,"[0, 0, 1, 4, 2, 0]"
Química/Tecnología ambiental,4,"[0, 0, 1, 0, 3, 0]"
Ingeniería mecánica/Manipulación,3,"[0, 0, 0, 1, 2, 0]"
Química/Ingeniería química,3,"[0, 0, 0, 0, 3, 0]"
Ingeniería mecánica/Elementos mecánicos,3,"[0, 0, 0, 0, 0, 3]"
Ingeniería mecánica/Otras máquinas especiales,2,"[0, 0, 0, 2, 0, 0]"
Química/Química de materiales básicos ,2,"[0, 0, 0, 0, 0, 2]"
Instrumentos/Medición,2,"[0, 0, 1, 1, 0, 0]"
Otros campos/Otros bienes de consumo,2,"[0, 0, 0, 1, 1, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",1,"[0, 0, 0, 0, 0, 1]"
Ingeniería mecánica/Máquinas textiles y papeleras,1,"[0, 0, 0, 0, 1, 0]"
Química/Química orgánica fina,1,"[0, 0, 0, 0, 0, 1]"
"Química/Materiales, metalurgia",1,"[0, 0, 0, 0, 0, 1]"
Química/Química de los alimentos,1,"[0, 0, 0, 0, 0, 1]"
