Categorías,Total,Todos los años
Otros campos/Ingeniería civil,39,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 6, 2, 5, 1, 1, 4, 3, 8, 4, 1]"
Ingeniería mecánica/Máquinas herramientas,16,"[0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 4, 0]"
"Química/Tecnología de superficies, recubrimiento",12,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 3, 3, 0]"
Ingeniería mecánica/Otras máquinas especiales,12,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 4, 0]"
"Otros campos/Mobiliario, juegos",11,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 1, 0, 1, 2, 0, 0, 0, 0]"
Otros campos/Otros bienes de consumo,7,"[0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Química/Materiales, metalurgia",5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
"Química/Química macromolecular, polímeros",4,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Química/Química de materiales básicos ,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Manipulación,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
Instrumentos/Tecnología médica,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Transporte,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instrumentos/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas textiles y papeleras,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
