Categorías,Total,Todos los años
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",15,"[0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 2, 2, 0]"
Instrumentos/Control,10,"[0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
Instrumentos/Medición,8,"[0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Ingeniería mecánica/Transporte,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0]"
Ingeniería eléctrica/Tecnología informática,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Otros campos/Otros bienes de consumo,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Comunicación digital,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Otros campos/Ingeniería civil,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",2,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Ingeniería química,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
