Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,35,"[0, 0, 0, 2, 2, 2, 0, 2, 17, 6, 1, 2, 1]"
Ingeniería eléctrica/Telecomunicaciones,12,"[2, 6, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Ingeniería eléctrica/Comunicación digital,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0]"
Instrumentos/Control,6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 1]"
Química/Tecnología ambiental,3,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Procesos básicos de comunicación,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Instrumentos/Medición,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Instrumentos/Tecnología médica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
