Categorías,Total,Todos los años
Química/Tecnología ambiental,2278,"[0, 0, 1, 8, 4, 15, 20, 40, 152, 290, 368, 475, 366, 380, 118, 41]"
Química/Ingeniería química,1848,"[0, 0, 1, 5, 2, 8, 21, 33, 103, 242, 361, 405, 296, 243, 95, 33]"
Otros campos/Ingeniería civil,822,"[2, 0, 0, 1, 0, 4, 15, 4, 34, 128, 192, 190, 130, 77, 40, 5]"
Química/Química de materiales básicos ,503,"[0, 0, 0, 0, 2, 2, 14, 24, 45, 76, 78, 75, 79, 66, 27, 15]"
Química/Biotecnología,382,"[0, 0, 0, 0, 0, 1, 7, 8, 15, 35, 68, 106, 59, 54, 19, 10]"
Ingeniería mecánica/Otras máquinas especiales,358,"[0, 0, 0, 1, 0, 1, 3, 16, 22, 47, 61, 64, 59, 55, 24, 5]"
"Otros campos/Mobiliario, juegos",308,"[0, 1, 0, 0, 0, 1, 0, 2, 45, 65, 44, 51, 41, 35, 21, 2]"
Ingeniería mecánica/Manipulación,286,"[0, 0, 0, 0, 1, 1, 2, 3, 41, 31, 33, 56, 52, 50, 15, 1]"
Instrumentos/Tecnología médica,246,"[0, 0, 0, 0, 0, 0, 6, 1, 23, 49, 43, 56, 33, 23, 9, 3]"
Métodos de ingeniería eléctrica/TI para la gestión,225,"[0, 0, 0, 0, 0, 0, 1, 3, 11, 29, 37, 38, 42, 44, 14, 6]"
Ingeniería mecánica/Máquinas herramientas,214,"[0, 0, 0, 1, 0, 0, 0, 1, 8, 30, 36, 59, 44, 23, 9, 3]"
Química/Química de los alimentos,196,"[0, 0, 0, 0, 0, 1, 11, 5, 19, 18, 26, 29, 38, 34, 12, 3]"
Instrumentos/Medición,153,"[0, 0, 0, 0, 0, 1, 7, 0, 7, 3, 26, 26, 29, 38, 13, 3]"
Ingeniería eléctrica/Tecnología informática,120,"[0, 0, 0, 0, 0, 0, 1, 0, 8, 15, 18, 20, 21, 23, 8, 6]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",99,"[0, 0, 0, 0, 0, 0, 3, 3, 5, 15, 23, 28, 9, 7, 6, 0]"
Instrumentos/Control,86,"[0, 0, 0, 0, 0, 1, 2, 0, 5, 8, 25, 15, 6, 19, 3, 2]"
Ingeniería mecánica/Elementos mecánicos,78,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 27, 17, 7, 7, 4, 1]"
Otros campos/Otros bienes de consumo,73,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 13, 11, 18, 17, 6, 3, 2]"
Ingeniería mecánica/Procesos y aparatos térmicos,71,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 13, 11, 13, 13, 16, 1, 1]"
"Química/Materiales, metalurgia",52,"[0, 0, 0, 1, 0, 0, 0, 3, 2, 11, 5, 5, 12, 7, 4, 2]"
"Química/Química macromolecular, polímeros",51,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 6, 6, 3, 21, 2, 3]"
Ingeniería mecánica/Máquinas textiles y papeleras,29,"[0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 8, 2, 3, 2, 0, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",28,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 6, 4, 4, 5, 1, 2]"
Ingeniería eléctrica/Comunicación digital,26,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 3, 5, 2, 8, 0, 0]"
Instrumentos/Análisis de materiales biológicos,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 2, 5, 9, 1]"
Química/Química orgánica fina,24,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 3, 5, 8, 4, 0]"
"Química/Tecnología de superficies, recubrimiento",21,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 7, 2, 1, 3, 2, 0]"
Ingeniería mecánica/Transporte,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 2, 4, 2, 1, 0]"
Química/Farmacéutica,14,"[0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 1, 5, 1, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 2, 2, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 1, 1, 0]"
Química/Microestructural y nanotecnología,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1]"
Ingeniería eléctrica/Semiconductores,5,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0]"
Ingeniería eléctrica/Procesos básicos de comunicación,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
