Categorías,Total,Todos los años
Química/Química de materiales básicos ,63,"[0, 0, 0, 2, 0, 0, 1, 6, 4, 2, 7, 6, 9, 7, 2, 2, 4, 6, 4, 1]"
Ingeniería mecánica/Otras máquinas especiales,57,"[0, 0, 0, 0, 0, 2, 1, 4, 2, 7, 5, 5, 2, 3, 6, 4, 7, 3, 5, 1]"
Química/Química de los alimentos,40,"[0, 0, 0, 1, 1, 0, 0, 2, 1, 4, 7, 3, 2, 0, 2, 2, 3, 5, 4, 3]"
Química/Biotecnología,20,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 2, 4, 5, 1]"
"Química/Química macromolecular, polímeros",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6, 0, 0, 0, 0, 3, 0, 0]"
Química/Farmacéutica,14,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 5, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",13,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 3, 1, 0]"
Química/Química orgánica fina,11,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 4, 1, 0, 0, 0, 3, 0, 0, 0, 0]"
Química/Tecnología ambiental,8,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 3, 1]"
Química/Ingeniería química,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2]"
Métodos de ingeniería eléctrica/TI para la gestión,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0]"
Ingeniería mecánica/Manipulación,5,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0]"
"Química/Tecnología de superficies, recubrimiento",5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
Otros campos/Ingeniería civil,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0]"
"Química/Materiales, metalurgia",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0]"
Otros campos/Otros bienes de consumo,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
Ingeniería eléctrica/Tecnología informática,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Instrumentos/Control,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Instrumentos/Medición,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instrumentos/Tecnología médica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas herramientas,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Microestructural y nanotecnología,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
