"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Balaska V.; Adamidou Z.; Vryzas Z.; Gasteratos A.","Balaska, Vasiliki (57204061279); Adamidou, Zoe (58552255000); Vryzas, Zisis (6508045688); Gasteratos, Antonios (6701673537)","57204061279; 58552255000; 6508045688; 6701673537","Sustainable Crop Protection via Robotics and Artificial Intelligence Solutions","2023","Machines","11","8","774","","","","25","10.3390/machines11080774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168953280&doi=10.3390%2fmachines11080774&partnerID=40&md5=e7f56ea4ba149a7ba9887cea343f4fc6","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168953280"
"Natori T.; Ariyama N.; Tsuichihara S.; Takemura H.; Aikawa N.","Natori, Takahiro (37089133200); Ariyama, Natuko (57210794939); Tsuichihara, Satoki (55210809900); Takemura, Hiroshi (35305948000); Aikawa, Naoyuki (35588809800)","37089133200; 57210794939; 55210809900; 35305948000; 35588809800","Study of Activity Collecting System for Grazing Cattle","2019","34th International Technical Conference on Circuits/Systems, Computers and Communications, ITC-CSCC 2019","","","8793451","","","","3","10.1109/ITC-CSCC.2019.8793451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071513733&doi=10.1109%2fITC-CSCC.2019.8793451&partnerID=40&md5=9b5c20497e3589e9a19673eb5323f0b4","Conference paper","Final","","Scopus","2-s2.0-85071513733"
"Mallinger K.; Baeza-Yates R.","Mallinger, Kevin (57221224243); Baeza-Yates, Ricardo (7004433908)","57221224243; 7004433908","Responsible AI in Farming: A Multi-Criteria Framework for Sustainable Technology Design","2024","Applied Sciences (Switzerland)","14","1","437","","","","1","10.3390/app14010437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185595779&doi=10.3390%2fapp14010437&partnerID=40&md5=980cf74eb14402feceaaef0049e14814","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185595779"
"Quach L.-D.; Quoc K.N.; Quynh A.N.; Ngoc H.T.; Thai-Nghe N.","Quach, Luyl-Da (57205683506); Quoc, Khang Nguyen (57963022000); Quynh, Anh Nguyen (57269345800); Ngoc, Hoang Tran (57201976385); Thai-Nghe, Nguyen (35749200000)","57205683506; 57963022000; 57269345800; 57201976385; 35749200000","Tomato Health Monitoring System: Tomato Classification, Detection, and Counting System Based on YOLOv8 Model With Explainable MobileNet Models Using Grad-CAM++","2024","IEEE Access","12","","","9719","9737","18","1","10.1109/ACCESS.2024.3351805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182351155&doi=10.1109%2fACCESS.2024.3351805&partnerID=40&md5=55ace575c983f6fb4e1065788bce5e33","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182351155"
"Kumar M.; Maurya P.; Verma R.","Kumar, Manoj (58765818100); Maurya, Pratibha (58171288400); Verma, Rinki (58033432300)","58765818100; 58171288400; 58033432300","Future of Indian Agriculture Using AI and Machine Learning Tools and Techniques","2022","The New Advanced Society: Artificial Intelligence and Industrial Internet of Things Paradigm","","","","447","472","25","1","10.1002/9781119884392.ch19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151616713&doi=10.1002%2f9781119884392.ch19&partnerID=40&md5=c52a4f73300232d1ba73d093b6ed27eb","Book chapter","Final","","Scopus","2-s2.0-85151616713"
"Bhatnagar V.; Poonia R.C.; Sunda S.","Bhatnagar, Vaibhav (57208904701); Poonia, Ramesh C. (56638603100); Sunda, Surendra (18937505000)","57208904701; 56638603100; 18937505000","State of the art and gap analysis of precision agriculture: A case study of Indian Farmers","2019","International Journal of Agricultural and Environmental Information Systems","10","3","","72","92","20","7","10.4018/IJAEIS.2019070105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067062102&doi=10.4018%2fIJAEIS.2019070105&partnerID=40&md5=ea3ebbc69ec4f99dc3eeb951379aebf3","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85067062102"
"Shukla G.; Gowri K.; Sudhamsu G.","Shukla, Gaurav (57191441409); Gowri, K. (58978509000); Sudhamsu, Gadug (57225151261)","57191441409; 58978509000; 57225151261","Fostering Smart Agriculture: Using Vision-Based AI for Livestock Managing","2023","2023 International Conference on Advances in Computation, Communication and Information Technology, ICAICCIT 2023","","","","784","790","6","0","10.1109/ICAICCIT60255.2023.10465732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189911659&doi=10.1109%2fICAICCIT60255.2023.10465732&partnerID=40&md5=b16c3796663b891089858b45013d1537","Conference paper","Final","","Scopus","2-s2.0-85189911659"
"Elijah O.; Rahim S.K.A.; Emmanuel A.A.; Salihu Y.O.; Usman Z.G.; Jimoh A.M.","Elijah, Olakunle (55947980200); Rahim, Sharul Kamal A. (16025721900); Emmanuel, Abioye Abiodun (57211992459); Salihu, Yahaya Otuoze (55027447100); Usman, Zubair Gatugel (57544772700); Jimoh, Adinoyi Momoh (57544071900)","55947980200; 16025721900; 57211992459; 55027447100; 57544772700; 57544071900","Enabling Smart Agriculture in Nigeria: Application of Digital-Twin Technology","2021","2021 1st International Conference on Multidisciplinary Engineering and Applied Science, ICMEAS 2021","","","","","","","2","10.1109/ICMEAS52683.2021.9692351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126866728&doi=10.1109%2fICMEAS52683.2021.9692351&partnerID=40&md5=b8351c567175c36c24bb6aa03f494dec","Conference paper","Final","","Scopus","2-s2.0-85126866728"
"Singh S.; Babu K.V.S.","Singh, Swati (58480775900); Babu, K.V. Suresh (58482170700)","58480775900; 58482170700","Adaptive smart farming system using Internet of Things (IoT) and artificial intelligence (AI) modeling","2023","AIoT Technologies and Applications for Smart Environments","","","","113","126","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164427789&partnerID=40&md5=f918aa6c8407771abe149d53a5f67339","Book chapter","Final","","Scopus","2-s2.0-85164427789"
"Zhang X.; Lu R.","Zhang, Xia (58130716700); Lu, Ruhua (57205583573)","58130716700; 57205583573","Design and Implementation of Aquarium AI System Based on Raspberry Pie","2022","Proceedings - 2022 8th Annual International Conference on Network and Information Systems for Computers, ICNISC 2022","","","","748","752","4","0","10.1109/ICNISC57059.2022.00151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149435303&doi=10.1109%2fICNISC57059.2022.00151&partnerID=40&md5=31c9b6ffefc127d9c40fef78f59c7ab3","Conference paper","Final","","Scopus","2-s2.0-85149435303"
