"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Balaska V.; Adamidou Z.; Vryzas Z.; Gasteratos A.","Balaska, Vasiliki (57204061279); Adamidou, Zoe (58552255000); Vryzas, Zisis (6508045688); Gasteratos, Antonios (6701673537)","57204061279; 58552255000; 6508045688; 6701673537","Sustainable Crop Protection via Robotics and Artificial Intelligence Solutions","2023","Machines","11","8","774","","","","25","10.3390/machines11080774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168953280&doi=10.3390%2fmachines11080774&partnerID=40&md5=e7f56ea4ba149a7ba9887cea343f4fc6","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168953280"
"Natori T.; Ariyama N.; Tsuichihara S.; Takemura H.; Aikawa N.","Natori, Takahiro (37089133200); Ariyama, Natuko (57210794939); Tsuichihara, Satoki (55210809900); Takemura, Hiroshi (35305948000); Aikawa, Naoyuki (35588809800)","37089133200; 57210794939; 55210809900; 35305948000; 35588809800","Study of Activity Collecting System for Grazing Cattle","2019","34th International Technical Conference on Circuits/Systems, Computers and Communications, ITC-CSCC 2019","","","8793451","","","","3","10.1109/ITC-CSCC.2019.8793451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071513733&doi=10.1109%2fITC-CSCC.2019.8793451&partnerID=40&md5=9b5c20497e3589e9a19673eb5323f0b4","Conference paper","Final","","Scopus","2-s2.0-85071513733"
"Mallinger K.; Baeza-Yates R.","Mallinger, Kevin (57221224243); Baeza-Yates, Ricardo (7004433908)","57221224243; 7004433908","Responsible AI in Farming: A Multi-Criteria Framework for Sustainable Technology Design","2024","Applied Sciences (Switzerland)","14","1","437","","","","1","10.3390/app14010437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185595779&doi=10.3390%2fapp14010437&partnerID=40&md5=980cf74eb14402feceaaef0049e14814","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185595779"
"Swain M.","Swain, Mahendra (56825165100)","56825165100","Vertical Farming Trends and Challenges: A New Age of Agriculture Using IoT and Machine Learning","2022","Internet of Things for Agriculture 4.0: Impact and Challenges","","","","1","16","15","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131975744&partnerID=40&md5=3aeef31e5368b509ca5a937614d2a771","Book chapter","Final","","Scopus","2-s2.0-85131975744"
"Quach L.-D.; Quoc K.N.; Quynh A.N.; Ngoc H.T.; Thai-Nghe N.","Quach, Luyl-Da (57205683506); Quoc, Khang Nguyen (57963022000); Quynh, Anh Nguyen (57269345800); Ngoc, Hoang Tran (57201976385); Thai-Nghe, Nguyen (35749200000)","57205683506; 57963022000; 57269345800; 57201976385; 35749200000","Tomato Health Monitoring System: Tomato Classification, Detection, and Counting System Based on YOLOv8 Model With Explainable MobileNet Models Using Grad-CAM++","2024","IEEE Access","12","","","9719","9737","18","1","10.1109/ACCESS.2024.3351805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182351155&doi=10.1109%2fACCESS.2024.3351805&partnerID=40&md5=55ace575c983f6fb4e1065788bce5e33","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182351155"
"Elijah O.; Rahim S.K.A.; Emmanuel A.A.; Salihu Y.O.; Usman Z.G.; Jimoh A.M.","Elijah, Olakunle (55947980200); Rahim, Sharul Kamal A. (16025721900); Emmanuel, Abioye Abiodun (57211992459); Salihu, Yahaya Otuoze (55027447100); Usman, Zubair Gatugel (57544772700); Jimoh, Adinoyi Momoh (57544071900)","55947980200; 16025721900; 57211992459; 55027447100; 57544772700; 57544071900","Enabling Smart Agriculture in Nigeria: Application of Digital-Twin Technology","2021","2021 1st International Conference on Multidisciplinary Engineering and Applied Science, ICMEAS 2021","","","","","","","2","10.1109/ICMEAS52683.2021.9692351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126866728&doi=10.1109%2fICMEAS52683.2021.9692351&partnerID=40&md5=b8351c567175c36c24bb6aa03f494dec","Conference paper","Final","","Scopus","2-s2.0-85126866728"
"Wadhe V.; Nemade M.; Agarwal S.; Shah S.","Wadhe, Vaishali (58123925500); Nemade, Milind (57195071844); Agarwal, Shubham (57216408880); Shah, Sejal (58123996700)","58123925500; 57195071844; 57216408880; 58123996700","AI Revolution in Agriculture of India","2023","2023 6th IEEE International Conference on Advances in Science and Technology, ICAST 2023","","","","166","169","3","0","10.1109/ICAST59062.2023.10454977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187787668&doi=10.1109%2fICAST59062.2023.10454977&partnerID=40&md5=b0ef2ebf13d370b78b68a111955906e4","Conference paper","Final","","Scopus","2-s2.0-85187787668"
"Patil P.; Kestur R.; Rao M.; Aswath C.","Patil, Pavan (58235903400); Kestur, Ramesh (58235672900); Rao, Madhav (55466228100); Aswath, C. (6507103308)","58235903400; 58235672900; 55466228100; 6507103308","IoT based Data Sensing System for AutoGrow, an Autonomous greenhouse System for Precision Agriculture","2023","APSCON 2023 - IEEE Applied Sensing Conference, Symposium Proceedings","","","","","","","8","10.1109/APSCON56343.2023.10101100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158026431&doi=10.1109%2fAPSCON56343.2023.10101100&partnerID=40&md5=8b269ecd27997ca66436e0693ad88bc6","Conference paper","Final","","Scopus","2-s2.0-85158026431"
"Thangamani R.; Sathya D.; Kamalam G.K.; Lyer G.N.","Thangamani, R. (58908950800); Sathya, D. (58909073400); Kamalam, G.K. (55027468100); Lyer, Ganesh Neelakanta (58972995000)","58908950800; 58909073400; 55027468100; 58972995000","AI Green Revolution: Reshaping Agriculture’s Future","2024","Signals and Communication Technology","Part F2461","","","421","461","40","0","10.1007/978-3-031-51195-0_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189507250&doi=10.1007%2f978-3-031-51195-0_19&partnerID=40&md5=a32ecf903e3d4296a93acb3ed2bc807c","Book chapter","Final","","Scopus","2-s2.0-85189507250"
"Pandey S.; Rawat P.; Singh R.; Dumka A.; Balyan R.; Joshi A.","Pandey, Shweta (58175879500); Rawat, Poonam (57900192700); Singh, Rajesh (57610169600); Dumka, Ankur (56159612000); Balyan, Rajat (58174474100); Joshi, Ankita (57884126200)","58175879500; 57900192700; 57610169600; 56159612000; 58174474100; 57884126200","An Imperative Role of Artificial Intelligence Integration with Internet of Things for Water Quality Health System","2023","2nd Edition of IEEE Delhi Section Owned Conference, DELCON 2023 - Proceedings","","","","","","","1","10.1109/DELCON57910.2023.10127399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162260988&doi=10.1109%2fDELCON57910.2023.10127399&partnerID=40&md5=0917a393d1ddabeb2528a9e325695ac7","Conference paper","Final","","Scopus","2-s2.0-85162260988"
